par,est,iter,ln_sigma_eta,Estimation model,Operating model
beta[j1],-2.6929908580654915,36,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.0555935720391814,37,0,Diffusion,Operating model = Diffusion
beta[j1],-2.6271756833229944,37,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-3.0402876132426644,37,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.273424664483259,38,0,Diffusion,Operating model = Diffusion
beta[j1],-2.4890058220446747,38,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.705817954568714,38,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.37468870867294,39,0,Diffusion,Operating model = Diffusion
beta[j1],-2.31774548035399,39,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.061611109334726,39,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.1433561923879494,40,0,Diffusion,Operating model = Diffusion
beta[j1],-2.338403748904418,40,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.7629836164045978,40,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.4558479361508425,41,0,Diffusion,Operating model = Diffusion
beta[j1],-2.435165988030178,41,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.8120079503056816,41,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.50875196822262,42,0,Diffusion,Operating model = Diffusion
beta[j1],-2.281108483674145,42,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-1.8081144954634065,42,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5594757361802745,43,0,Diffusion,Operating model = Diffusion
beta[j1],-2.316295761090554,43,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.5908003576124816,43,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5231646406921713,44,0,Diffusion,Operating model = Diffusion
beta[j1],-2.1180212287946354,44,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.6503549542840235,44,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.600469610511923,45,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3464194400918155,45,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.7279697655323796,45,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5486027862797065,46,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3387151775791857,46,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.1705300268611456,46,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3116479751168453,47,0,Diffusion,Operating model = Diffusion
beta[j1],-2.5970248491743817,47,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.8267880390506384,47,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.46944951801352,48,0,Diffusion,Operating model = Diffusion
beta[j1],-2.572421962510181,48,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.406886067276634,48,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.4601129154630423,49,0,Diffusion,Operating model = Diffusion
beta[j1],-2.7538927017065973,49,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.4878014113132947,49,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.1807746102338763,50,0,Diffusion,Operating model = Diffusion
beta[j1],-2.2551534769656483,50,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.0974637340996867,50,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.4728861817824863,51,0,Diffusion,Operating model = Diffusion
beta[j1],-2.2722993198431594,51,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-3.3673499964092715,51,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.701887547651003,52,0,Diffusion,Operating model = Diffusion
beta[j1],-2.303205831756332,52,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.621188894811083,52,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.6465443559301245,53,0,Diffusion,Operating model = Diffusion
beta[j1],-2.5623532257982022,53,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.273700796728123,53,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.6792774842399467,54,0,Diffusion,Operating model = Diffusion
beta[j1],-2.499044845523614,54,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.3130599849513698,54,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.309533839585162,55,0,Diffusion,Operating model = Diffusion
beta[j1],-2.4985794081501105,55,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.4145094282575155,55,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.2085975773102198,56,0,Diffusion,Operating model = Diffusion
beta[j1],-2.517383365984408,56,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-3.4606239797352396,56,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.4064890808375314,57,0,Diffusion,Operating model = Diffusion
beta[j1],-2.1731181423947787,57,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.709377018491444,57,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.6915563349089395,58,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3749540044801023,58,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.6742343473145307,58,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.0772946249162967,59,0,Diffusion,Operating model = Diffusion
beta[j1],-2.446460354891072,59,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.5480692889916607,59,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.2218733595699436,60,0,Diffusion,Operating model = Diffusion
beta[j1],-2.246419666596069,60,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.297114033124175,60,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3250877095061804,61,0,Diffusion,Operating model = Diffusion
beta[j1],-3.3517774449224476,61,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-1.9635924925593493,61,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.5373310759590213,62,0,Diffusion,Operating model = Diffusion
beta[j1],-2.5632536357224813,62,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.360930072146073,62,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.569619435473493,63,0,Diffusion,Operating model = Diffusion
beta[j1],-2.1436024622098557,63,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.3466385283617828,63,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.4381328713046506,64,0,Diffusion,Operating model = Diffusion
beta[j1],-2.7999388103297376,64,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.4293689299776977,64,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.2668240606885774,65,0,Diffusion,Operating model = Diffusion
beta[j1],-2.3000329207725323,65,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.2305944037570664,65,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3893711079240525,66,0,Diffusion,Operating model = Diffusion
beta[j1],-2.37834928512858,66,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.525974513140864,66,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.1623010362575137,67,0,Diffusion,Operating model = Diffusion
beta[j1],-2.346744607461526,67,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.5304496641407574,67,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3371559729971136,68,0,Diffusion,Operating model = Diffusion
beta[j1],-2.4331252583902074,68,-2.30258509299405,Diffusion,Operating model = Diffusion
beta[j1],-2.3273667110044536,68,0.693147180559945,Diffusion,Operating model = Diffusion
beta[j1],-2.3487052670364927,69,0,Diffusion,Operating model = Diffusion
beta[j1],-2.4031862373182657,69,-2.30258509299405,Diffusion,Operating model = Diffusion
