Operating model,Estimation model,aic,index
Null,Null,1,42-0.25
Null,Diffusion,0,42-0.1
Null,Null,1,42-0.1
Null,Diffusion,0,42-0.5
Null,Null,1,42-0.5
Null,Diffusion,0,43-0.25
Null,Null,1,43-0.25
Null,Diffusion,0,43-0.1
Null,Null,1,43-0.1
Null,Diffusion,0,43-0.5
Null,Null,1,43-0.5
Null,Diffusion,0,44-0.25
Null,Null,1,44-0.25
Null,Diffusion,0,44-0.1
Null,Null,1,44-0.1
Null,Diffusion,1,44-0.5
Null,Null,0,44-0.5
Null,Diffusion,0,45-0.25
Null,Null,1,45-0.25
Null,Diffusion,0,45-0.1
Null,Null,1,45-0.1
Null,Diffusion,0,45-0.5
Null,Null,1,45-0.5
Null,Diffusion,0,46-0.25
Null,Null,1,46-0.25
Null,Diffusion,0,46-0.1
Null,Null,1,46-0.1
Null,Diffusion,0,46-0.5
Null,Null,1,46-0.5
Null,Diffusion,0,47-0.25
Null,Null,1,47-0.25
Null,Diffusion,0,47-0.1
Null,Null,1,47-0.1
Null,Diffusion,0,47-0.5
Null,Null,1,47-0.5
Null,Diffusion,0,48-0.25
Null,Null,1,48-0.25
Null,Diffusion,0,48-0.1
Null,Null,1,48-0.1
Null,Diffusion,0,48-0.5
Null,Null,1,48-0.5
Null,Diffusion,0,49-0.25
Null,Null,1,49-0.25
Null,Diffusion,0,49-0.1
Null,Null,1,49-0.1
Null,Diffusion,0,49-0.5
Null,Null,1,49-0.5
Null,Diffusion,0,50-0.25
Null,Null,1,50-0.25
Null,Diffusion,0,50-0.1
Null,Null,1,50-0.1
Null,Diffusion,1,50-0.5
Null,Null,0,50-0.5
Diffusion,Diffusion,1,1-0.25
Diffusion,Null,0,1-0.25
Diffusion,Diffusion,1,1-0.1
Diffusion,Null,0,1-0.1
Diffusion,Diffusion,1,1-0.5
Diffusion,Null,0,1-0.5
Diffusion,Diffusion,1,2-0.25
Diffusion,Null,0,2-0.25
Diffusion,Diffusion,1,2-0.1
Diffusion,Null,0,2-0.1
Diffusion,Diffusion,1,2-0.5
Diffusion,Null,0,2-0.5
Diffusion,Diffusion,1,3-0.25
Diffusion,Null,0,3-0.25
Diffusion,Diffusion,1,3-0.1
Diffusion,Null,0,3-0.1
Diffusion,Diffusion,1,3-0.5
Diffusion,Null,0,3-0.5
Diffusion,Diffusion,1,4-0.25
Diffusion,Null,0,4-0.25
Diffusion,Diffusion,1,4-0.1
