"","species","model","beta0","beta_j_1","beta_j_2","ln_tau","ln_kappa","ln_kappa2","ln_sigma_eta"
"47","lhdab","diffusion",-3.84665390012482,-4.69024876526792,0.101368376345662,-1.92082109358127,-2.17822965682599,6.86853820770349,0.847712261041941
"48","lhdab","null",-13.5147170160467,-26.3642711714347,-18.8288766609174,-1.9942973188778,-0.734861669957505,NA,0.845318276756213
"49","a_starry","diffusion",-15.3120849524394,-30.6867528796047,-22.1572264607123,-2.01401557274163,-0.769843553170374,8.49599872662867,0.840047946146945
"50","a_starry","null",-15.4698037100017,-31.6053546569155,-23.0785649703519,-2.02520427463842,-0.738097737273124,NA,0.840059117345902
"51","ej_nrs","diffusion",-13.2919921820769,-18.0751511780301,-7.86549582094828,0.373302334246759,5.39451122627951,7.55418967037771,2.18778115194713
"52","ej_nrs","null",-13.2893289475593,-18.0640519962061,-7.85425274797873,-3.91496171228262,7.50284819068453,NA,2.18775734557221
"53","j_nrs","diffusion",-6.37925811087169,-5.76861048555073,0.757630064423605,-1.72810627759169,-0.927566175395587,3.3464505061874,1.43149047115179
"54","j_nrs","null",-6.49275405233046,-5.66580641972548,0.82683223275424,-1.72445742022703,-0.951852991444377,NA,1.43152369093654
"55","a_nrs","diffusion",-2.87220837970816,-4.32167363559129,-0.83167624680428,-1.84976646642081,-0.432431134655616,4.81356119996315,1.25878362845592
"56","a_nrs","null",-2.87995610493548,-4.32833190515127,-0.836078783502255,-1.84916683456519,-0.43282208229858,NA,1.25878861193122
"57","j_akplce","diffusion",-5.19128583251339,-19.3785676908052,-0.469484672173548,-2.16207045074501,0.294457146504446,-0.346436504663855,0.436014884291119
"58","j_akplce","null",-2.81545437727443,-5.47050252510192,-3.8870428438937,-1.97508742170956,-0.557005230100656,NA,0.437251051661059
"59","a_akplce","diffusion",-4.51000398430248,-14.3574800811451,-1.24314792784422,-2.31338283296926,0.226429336288604,0.213669414495803,0.405010556382777
"60","a_akplce","null",-2.91128903522595,-7.08905299196273,-9.86987459329672,-2.2124277886124,-0.440650984174284,NA,0.405506385796966
"61","a_yil","diffusion",-7.35894262907856,-8.57692684670116,-38.9589270680207,-20.0667950271732,11.0033235070104,-0.342547281689411,2.03701684048434
"62","a_yil","null",-8.20204694642091,-1.90189145348597,-4.72291734758536,-3.74185585552535,2.44875796175438,NA,2.08822571570641
"63","j_great","diffusion",-5.34450453644727,-5.13026660754315,0.653961577724832,-1.47755475377684,-0.459700643668696,1.05384638362469,0.605468011484004
"64","j_great","null",-4.65988434259272,-1.93897285459069,-0.128636534756867,-1.56227597048082,-0.387540077527194,NA,0.603784289803023
"65","a_great","diffusion",-7.85909074545375,-6.5356571553244,1.23051797781598,-1.57853649084105,-0.765525615284027,0.80080375572156,0.629481917887296
"66","a_great","null",-6.34467692343693,-2.01505070775366,-0.154911290746795,-1.75855947335688,-0.224399382861767,NA,0.627279178652846
"67","a_bigmouth","diffusion",5.29048467511823,2.77362042316548,-1.20438564200863,-1.66003280186761,-1.87546328763269,6.80412939672507,0.433866187970425
"68","a_bigmouth","null",-7.65339005632632,2.85918423441458,-1.24022955030633,-1.7195785318167,-0.911087829067284,NA,0.435281982653837
"69","ej_pcod","diffusion",-7.04742045534846,-8.57030070134461,-5.09139049590123,-1.92451316359015,0.0319546878882534,10.6110867171317,0.881951045985428
"70","ej_pcod","null",-6.83786459091835,-7.05278480935552,-3.31531572045057,-1.92265344348502,0.0349646976310069,NA,0.881805576634795
"71","j_pcod","diffusion",0.63137348527459,-1.06232859678558,-1.43834982470652,-1.35519309353407,-0.782802596290707,4.04666456638994,0.372723921773155
"72","j_pcod","null",0.583080565644235,-1.11499262045251,-1.38467152408615,-1.35292597999942,-0.785120766383666,NA,0.372838579591078
"73","a_pcod","diffusion",0.846967959482868,-0.672721981276897,-1.31702404616386,-0.845194469002538,-0.851314553366772,6.25285091459478,0.1993262629537
"74","a_pcod","null",0.84717766530739,-0.673191866498891,-1.31659893906562,-0.845160818596985,-0.851833358062426,NA,0.199320377326835
"75","ej_poll","diffusion",-1.96149780170591,-4.42685732392723,-3.60042887371917,-1.2944215636089,-0.871721544327266,3.59023806483337,0.93294414005663
"76","ej_poll","null",-1.99495964578313,-4.60719202983775,-3.97567433227701,-1.29311880941028,-0.881429995089012,NA,0.932985184824025
"77","j_poll","diffusion",-3.18270935505332,-3.58767124682976,0.485839817838184,-1.72673022144282,-0.830787203946871,3.23077268474193,0.892513432354265
"78","j_poll","null",-3.23828429482974,-3.3514023092349,0.462354516607765,-1.73630177524315,-0.841792274402394,NA,0.892526932070594
"79","a_poll","diffusion",1.63493602109021,-2.02750221201826,-0.00756046226271426,-2.0100716335237,-0.0892844843640136,5.87439906285152,0.719788938268673
"80","a_poll","null",1.63685406055425,-2.027104691362,-0.00736193868260727,-2.01009611663325,-0.0892032560519326,NA,0.71981832081732
"81","cap","diffusion",-8.66596189238395,-16.4305371868746,17.7582288803676,-1.29564487427765,-1.02788095420223,-0.612561951842805,0.955694776033264
"82","cap","null",-5.67063686382922,-4.58882115693027,-5.36060979316539,-1.35379677457507,-1.54432548519426,NA,0.954082240084778
"83","tanner","diffusion",-4.79719075595552,-2.7613592681385,-0.294813463215504,-1.90340772093616,-0.867173973776581,3.71021883871246,0.506638777723739
